Value stream,Linea Produccion,PN
ENT,L06,34374
ENT,L06,12197
ENT,L06,29863
ENT,L06,15078
ENT,L06,26546
ENT,L06,29884
ENT,L06,29995
ENT,L06,46606
ENT,L06,29994
ENT,L06,46609
ENT,L06,34581
ENT,L06,46610
ENT,L06,42000
ENT,L06,13609
ENT,L06,22163
ENT,L06,21401
ENT,L06,46611
ENT,L06,86990
ENT,L06,87015
ENT,L06,87000
ENT,L06,87020
ENT,L06,87010
ENT,L06,86985
ENT,L06,86995
ENT,L06,87005
ENT,L07,42000
ENT,L07,13609
ENT,L07,22163
ENT,L07,11289
ENT,L07,46607
ENT,L07,21401
ENT,L07,46611
ENT,L07,12197
ENT,L07,29863
ENT,L07,29994
ENT,L07,29884
ENT,L07,15078
ENT,L07,26546
ENT,L07,81905
ENT,L07,86990
ENT,L07,87015
ENT,L07,87000
ENT,L07,87020
ENT,L07,87010
ENT,L07,86985
ENT,L07,86995
ENT,L07,87005
ENT,L07,99000
ENT,L07,16358
ENT,L07,16701
ENT,L07,22987
ENT,L07,24822
ENT,L07,24820
ENT,L07,24821
ENT,L08 celda 1,24530
ENT,L08 celda 1,24531
ENT,L08 celda 1,24532
ENT,L08 celda 1,24533
ENT,L08 celda 1,24534
ENT,L08 celda 1,21785
ENT,L08 celda 1,24535
ENT,L08 celda 1,24536
ENT,L08 celda 1,24537
ENT,L08 celda 1,24538
ENT,L08 celda 1,24539
ENT,L08 celda 1,24542-W
ENT,L08 celda 1,24543
ENT,L08 celda 1,24544-W
ENT,L08 celda 1,24545
ENT,L08 celda 1,24542-L10
ENT,L08 celda 1,24544-L10
ENT,L08 celda 1,24978
FIXATION,Cer 3,4566
FIXATION,Cer 3,4565
FIXATION,Cer 3,72205307
FIXATION,Cer 3,72205306
FIXATION,Cer 3,4565 D
FIXATION,Cer 3,4566 D
FIXATION,Cer 3,72205575D
FIXATION,Cer 3,72205574D
FIXATION,Cer 3,72205574
FIXATION,Cer 3,72205575
FIXATION,Cer 3,72205568
FIXATION,L12,65203
FIXATION,L12,30646
FIXATION,L12,30647
FIXATION,L12,66970
FIXATION,L12,100043
FIXATION,L12,63673
FIXATION,L12,63674
FIXATION,L12,49711
FIXATION,L12,66971
FIXATION,L12,48221
FIXATION,L12,48400
FIXATION,L12,48401
FIXATION,L12,32791
FIXATION,L12,32792
FIXATION,L12,34770
FIXATION,L12,15324
FIXATION,L12,64953
FIXATION,L12,56086
FIXATION,L12,83034
FIXATION,L12,85937
FIXATION,L12,85936
FIXATION,L12,83038
FIXATION,L12,85875
FIXATION,L12,87544
FIXATION,L12,87545
FIXATION,L12,85732
FIXATION,L12,17357
FIXATION,L12,49697
FIXATION,L12,49696
FIXATION,L12,84317
FIXATION,L12,49696 PF
FIXATION,L12,49696 SF
FIXATION,L12,25110 SF
FIXATION,L12,25110
FIXATION,L12,30520
FIXATION,L12,27631
FIXATION,L12,84317 PF
FIXATION,L12,84317 SF
FIXATION,L12,25110 PF
FIXATION,L12,48214
FIXATION,L12,55494
FIXATION,L12,57407
FIXATION,L12,62897
FIXATION,L12,16914
FIXATION,L12,34474
FIXATION,L12,64622
FIXATION,L12,16982
FIXATION,L12,17331
FIXATION,L12,17351
FIXATION,L12,17358
FIXATION,L12,242101
FIXATION,L12,242201
FIXATION,L12,242401
FIXATION,L12,34731
FIXATION,L12,34496
FIXATION,L12,43177
FIXATION,L12,49697 PF
FIXATION,L12,49697 SF
FIXATION,L12,14981
FIXATION,L12,14982
FIXATION,L12,34494
FIXATION,L12,34730
FIXATION,L12,14101
FIXATION,L12,34491
FIXATION,L12,14102
FIXATION,L12,126680
FIXATION,L12,126681
FIXATION,L12,126866
FIXATION,L12,126680 PF
FIXATION,L12,129676 PF
FIXATION,L12,129676 SF
FIXATION,L12,126680 SF
FIXATION,L12,126681 PF
FIXATION,L12,126681 SF
FIXATION,L12,126866 PF
FIXATION,L12,126866 SF
FIXATION,L12,72205860
FIXATION,L12,72205858
FIXATION,L12,72205859
FIXATION,L12,133882 PF
FIXATION,L12,133883 PF
FIXATION,L12,133884 PF
FIXATION,L12,133885 PF
FIXATION,L12,133882 SF
FIXATION,L12,133883 SF
FIXATION,L12,133884 SF
FIXATION,L12,133885 SF
FIXATION,L12,72205315
FIXATION,L12,72205314
FIXATION,L12,72205684
FIXATION,L12,72205683
FIXATION,L12,72205444
FIXATION,L12,72205443
FIXATION,L12,72205600
FIXATION,L12,72205601
FIXATION,L12,72205602
FIXATION,L12,72205580
FIXATION,L12,128783 PF
FIXATION,L12,128423 PF
FIXATION,L12,128783 SF
FIXATION,L12,128423 SF
FIXATION,L12,72205695
FIXATION,L12,72205691
FIXATION,L12,72205692
FIXATION,L12,72205693
FIXATION,L12,72205858
FIXATION,L12,72205859
FIXATION,L12,72205860
FIXATION,L13,65203
FIXATION,L13,30646
FIXATION,L13,30647
FIXATION,L13,66970
FIXATION,L13,100043
FIXATION,L13,63673
FIXATION,L13,63674
FIXATION,L13,49711
FIXATION,L13,66971
FIXATION,L13,48221
FIXATION,L13,48400
FIXATION,L13,48401
FIXATION,L13,32791
FIXATION,L13,32792
FIXATION,L13,34770
FIXATION,L13,15324
FIXATION,L13,64953
FIXATION,L13,56086
FIXATION,L13,83034
FIXATION,L13,85937
FIXATION,L13,85936
FIXATION,L13,83038
FIXATION,L13,85875
FIXATION,L13,87544
FIXATION,L13,87545
FIXATION,L13,85732
FIXATION,L13,17357
FIXATION,L13,49696 PF
FIXATION,L13,49696 SF
FIXATION,L13,25110 SF
FIXATION,L13,25110
FIXATION,L13,30520
FIXATION,L13,27631
FIXATION,L13,84317 PF
FIXATION,L13,84317 SF
FIXATION,L13,25110 PF
FIXATION,L13,48214
FIXATION,L13,55494
FIXATION,L13,57407
FIXATION,L13,62897
FIXATION,L13,16914
FIXATION,L13,34474
FIXATION,L13,64622
FIXATION,L13,16982
FIXATION,L13,17331
FIXATION,L13,17351
FIXATION,L13,17358
FIXATION,L13,242101
FIXATION,L13,242201
FIXATION,L13,242401
FIXATION,L13,34731
FIXATION,L13,34496
FIXATION,L13,43177
FIXATION,L13,49697 PF
FIXATION,L13,49697 SF
FIXATION,L13,14981
FIXATION,L13,14982
FIXATION,L13,34494
FIXATION,L13,34730
FIXATION,L13,14101
FIXATION,L13,34491
FIXATION,L13,14102
FIXATION,L13,72205315
FIXATION,L13,72205314
FIXATION,L13,72205684
FIXATION,L13,72205683
FIXATION,L13,72205444
FIXATION,L13,72205443
FIXATION,L13,72205600
FIXATION,L13,72205601
FIXATION,L13,72205602
FIXATION,L13,72205580
FIXATION,L13,72205695
FIXATION,L13,72205691
FIXATION,L13,72205692
FIXATION,L13,72205693
FIXATION,L13,72205858
FIXATION,L13,72205859
FIXATION,L13,72205860
FIXATION,L14.5,4230
FIXATION,L14.5,4403
FIXATION,L14.5,4391
FIXATION,L14.5,4173-1
FIXATION,L14.5,2503-S
FIXATION,L14.5,4402
FIXATION,L14.5,4173-1D
FIXATION,L14.5,4402D
FIXATION,L14.5,2503-SD
FIXATION,L14.5,4403D
FIXATION,L14.5,2503-C (D)
FIXATION,L14.5,4650D
FIXATION,L14.5,72205199
FIXATION,L14.5,72205202
FIXATION,L14.5,72205205
FIXATION,L14.5,72205206
FIXATION,L14.5,72205577D
FIXATION,L14.5,72205576D
FIXATION,L14.5,72205576
FIXATION,L14.5,72205577
FIXATION,L14,65203
FIXATION,L14,30646
FIXATION,L14,30647
FIXATION,L14,66970
FIXATION,L14,100043
FIXATION,L14,63673
FIXATION,L14,63674
FIXATION,L14,49711
FIXATION,L14,66971
FIXATION,L14,48221
FIXATION,L14,48400
FIXATION,L14,48401
FIXATION,L14,32791
FIXATION,L14,32792
FIXATION,L14,34770
FIXATION,L14,15324
FIXATION,L14,64953
FIXATION,L14,56086
FIXATION,L14,83034
FIXATION,L14,85937
FIXATION,L14,85936
FIXATION,L14,83038
FIXATION,L14,126441
FIXATION,L14,85875
FIXATION,L14,87544
FIXATION,L14,87545
FIXATION,L14,85732
FIXATION,L14,17357
FIXATION,L14,49696 PF
FIXATION,L14,49696 SF
FIXATION,L14,25110 SF
FIXATION,L14,25110
FIXATION,L14,30520
FIXATION,L14,27631
FIXATION,L14,84317 PF
FIXATION,L14,84317 SF
FIXATION,L14,25110 PF
FIXATION,L14,48214
FIXATION,L14,55494
FIXATION,L14,57407
FIXATION,L14,62897
FIXATION,L14,16914
FIXATION,L14,34474
FIXATION,L14,64622
FIXATION,L14,16982
FIXATION,L14,17331
FIXATION,L14,17351
FIXATION,L14,17358
FIXATION,L14,242101
FIXATION,L14,242201
FIXATION,L14,242401
FIXATION,L14,34731
FIXATION,L14,34496
FIXATION,L14,43177
FIXATION,L14,49697 PF
FIXATION,L14,49697 SF
FIXATION,L14,14981
FIXATION,L14,14982
FIXATION,L14,34494
FIXATION,L14,34730
FIXATION,L14,14101
FIXATION,L14,34491
FIXATION,L14,14102
FIXATION,L14,72205315
FIXATION,L14,72205314
FIXATION,L14,72205684
FIXATION,L14,72205683
FIXATION,L14,72205444
FIXATION,L14,72205443
FIXATION,L14,72205882
FIXATION,L14,72205883
FIXATION,L14,72205884
FIXATION,L14,72205885
FIXATION,L14,133882 PF
FIXATION,L14,133883 PF
FIXATION,L14,133884 PF
FIXATION,L14,133885 PF
FIXATION,L14,133882 SF
FIXATION,L14,133883 SF
FIXATION,L14,133884 SF
FIXATION,L14,133885 SF
FIXATION,L14,72205600
FIXATION,L14,72205601
FIXATION,L14,72205602
FIXATION,L14,72205580
FIXATION,L14,72205695
FIXATION,L14,72205691
FIXATION,L14,72205692
FIXATION,L14,72205693
FIXATION,L14,72205858
FIXATION,L14,72205859
FIXATION,L14,72205860
SPM,L03,29508
SPM,L03,88000
SPM,L03,29375
SPM,L03,66000
SPM,L03,110000
SPM,L03,24984
SPM,L03,99000
SPM,L03,15078
SPM,L03,87015
SPM,L03,86990
SPM,L03,113001
SPM,L04,13379
SPM,L04,18611
SPM,L04,23581
SPM,L04,94886
SPM,L04,30588
SPM,L04,30589
SPM,L04,25050
SPM,L04,25048
SPM,L04,24984
SPM,L04,29375
SPM,L04,28365
SPM,L04,39388
SPM,L04,66000
SPM,L04,88000
SPM,L05,28365
SPM,L05,25048
SPM,L05,10375
SPM,L05,10394
SPM,L05,10470
SPM,L05,11363
SPM,L05,16885
SPM,L05,16941
SPM,L05,16942
SPM,L05,16943
SPM,L05,86990
SPM,L05,10395
SPM,L05,12769
SPM,L05,39388
SPM,L05,29375
SPM,L05,12782
SPM,L05,10370
SPM,L05,16886
SPM,L05,10389
SPM,L05,16940
SPM,L05,11787
SPM,L05,11788
SPM,L05,37732
SPM,L05,21380
SPM,L05,66558
SPM,L05,36398
SPM,L05,24984
SPM,L09,86000
SPM,L09,88000
WOUND,GAL,66020402
WOUND,GAL,66800269
WOUND,GAL,66020408
WOUND,GAL,66020403
WOUND,GAL,66800272
WOUND,GAL,66800280
WOUND,GAL,66800273
WOUND,GAL,66020413
WOUND,GAL,66800898
WOUND,GAL,66800959
WOUND,GAL,66800506
WOUND,GAL,66800900
WOUND,Pico,66022002
WOUND,Pico,66022022
WOUND,Pico,66022012
WOUND,Pico,66022042
WOUND,Pico,66022003
WOUND,Pico,66022023
WOUND,Pico,66022043
WOUND,Pico,66022013
WOUND,Pico,66022014
WOUND,Pico,66022044
WOUND,Pico,66022024
WOUND,Pico,66022004
WOUND,Pico,66022025
WOUND,Pico,66022015
WOUND,Pico,66022045
WOUND,Pico,66022005
WOUND,Pico,66022016
WOUND,Pico,66022026
WOUND,Pico,66022046
WOUND,Pico,66022006
WOUND,Pico,66022017
WOUND,Pico,66022047
WOUND,Pico,66022027
WOUND,Pico,66022007
WOUND,Pico,66022008
WOUND,Pico,66022018
WOUND,Pico,66022028
WOUND,Pico,66022048
WOUND,Pico,66022009
WOUND,Pico,66022019
WOUND,Pico,66022029
WOUND,Pico,66022049
WOUND,Pico,66022011
WOUND,Pico,66022021
WOUND,Pico,66022010
WOUND,Pico,66022020
WOUND,Pico,66022031
WOUND,Pico,66802000
WOUND,Pico,66802001
WOUND,Pico,66802002
WOUND,Pico,66802003
WOUND,Pico,66802004
WOUND,Pico,66802005
WOUND,Pico,66802006
WOUND,Pico,66802007
WOUND,Pico,66802008
WOUND,Pico,66802009
WOUND,Pico,66802010
WOUND,Pico,66802011
WOUND,Pico,66802012
WOUND,Pico,66802013
WOUND,Pico,66802014
WOUND,Pico,66802015
WOUND,Pico,66802016
WOUND,Pico,66802017
WOUND,Pico,66802018
WOUND,Pico,66802019
WOUND,Pico,66802020
WOUND,Pico,66802021
WOUND,Pico,66802022
WOUND,Pico,66802023
WOUND,Pico,66802024
WOUND,Pico,66802025
WOUND,Pico,66802026
WOUND,Pico,66802027
WOUND,Pico,66802028
WOUND,Pico,66802029
WOUND,Pico,66802031
WOUND,Pico,66802040
WOUND,Pico,66802041
WOUND,Pico,66802042
WOUND,Pico,66802043
WOUND,Pico,66802044
WOUND,Pico,66802045
WOUND,Pico,66802046
WOUND,Pico,66802047
WOUND,Pico,66802048
WOUND,Pico,66802049
APOLLO,HASS,90504246
APOLLO,HASS,90504247
APOLLO,Micromolding,90503567
APOLLO,Micromolding,90503666
APOLLO,Moldeadora 1,90504246
APOLLO,Moldeadora 1,90504247
APOLLO,Moldeadora 1,90504248
APOLLO,Moldeadora 1,90501812
APOLLO,Triming,90504246
APOLLO,Triming,90504247
APOLLO,Triming,90504248
APOLLO,Plug Assy ,90504246
APOLLO,Plug Assy ,90504247
APOLLO,Marking,90506546
APOLLO,Marking,90509131
APOLLO,Marking,90500775
APOLLO,Marking,90500774
APOLLO,Marking,90504292
APOLLO,Marking,90504293
APOLLO,Marking,90503768
APOLLO,Marking,90503767
APOLLO,Welding,90506546
APOLLO,Welding,90509131
APOLLO,Welding,90500775
APOLLO,Welding,90500774
APOLLO,Welding,90504292
APOLLO,Welding,90504293
APOLLO,Welding,90503768
APOLLO,Welding,90503767
APOLLO,Auto BB,90502097
APOLLO,Auto BB,125701
APOLLO,BB Manual,90502097
APOLLO,BB Manual,125701
APOLLO,TIC,398418
APOLLO,TIC,135384
APOLLO,Torno 1,110025
APOLLO,Torno 2,110025
APOLLO,Torno 3,90504930
APOLLO,Torno 4,90505996
APOLLO,Torno 5,90504829
APOLLO,Torno 3,90502097
APOLLO,Torno 3,110025
APOLLO,Torno 3,125701
APOLLO,Torno 4,110025
APOLLO,Torno 4,125701
APOLLO,Torno 5,90502097
APOLLO,Torno 5,90504930
APOLLO,Torno 5,90505996
APOLLO,Torno 5,90504829
APOLLO,Torno 6,90502097
APOLLO,Torno 6,90503765
APOLLO,Torno 6,90503766
APOLLO,Torno 6,90504290
APOLLO,Torno 6,90504291
JOINT REPAIR,L08 celda 1,72201361
JOINT REPAIR,L08 celda 1,72203704
JOINT REPAIR,L08 celda 1,72200758
JOINT REPAIR,L08 celda 1,72200147
JOINT REPAIR,L08 celda 1,7211137
JOINT REPAIR,L08 celda 1,14859
JOINT REPAIR,L08 celda 1,72200419
JOINT REPAIR,L08 celda 1,72200148
JOINT REPAIR,L08 celda 1,7210424
JOINT REPAIR,L08 celda 1,72203697
JOINT REPAIR,L08 celda 1,72201806
JOINT REPAIR,L08 celda 1,72202602
JOINT REPAIR,L08 celda 1,7205644
JOINT REPAIR,L08 celda 1,7205647
JOINT REPAIR,L08 celda 1,7205650
JOINT REPAIR,L08 celda 1,72203379
JOINT REPAIR,L08 celda 1,7210300
JOINT REPAIR,L08 celda 1,72203852
JOINT REPAIR,L08 celda 1,72204688
JOINT REPAIR,L08 celda 1,72202606
JOINT REPAIR,L08 celda 1,14396
JOINT REPAIR,L08 celda 1,72201881
JOINT REPAIR,L08 celda 1,72203776
JOINT REPAIR,L08 celda 1,72202896
JOINT REPAIR,L08 celda 1,72200787
JOINT REPAIR,L08 celda 1,72200755
JOINT REPAIR,L08 celda 1,72201594
JOINT REPAIR,L08 celda 1,72203853
JOINT REPAIR,L08 celda 1,7210082
JOINT REPAIR,L08 celda 1,7207257
JOINT REPAIR,L08 celda 1,72205138
JOINT REPAIR,L08 celda 1,72205136
JOINT REPAIR,L08 celda 1,7210083
JOINT REPAIR,L08 celda 1,72200153
JOINT REPAIR,L08 celda 1,7210080
JOINT REPAIR,L08 celda 1,7210087
JOINT REPAIR,L08 celda 1,72203330
JOINT REPAIR,L08 celda 1,7207250
JOINT REPAIR,L08 celda 1,72203160
JOINT REPAIR,L08 celda 1,72203855
JOINT REPAIR,L08 celda 1,72203856
JOINT REPAIR,L08 celda 1,72204669
JOINT REPAIR,L08 celda 1,72204690
JOINT REPAIR,L08 celda 1,72204691
JOINT REPAIR,L08 celda 1,72204988
JOINT REPAIR,L08 celda 1,72205022
JOINT REPAIR,L08 celda 1,72205062
JOINT REPAIR,L08 celda 1,72205169
JOINT REPAIR,L08 celda 1,72205267
JOINT REPAIR,L08 celda 1,7210304
JOINT REPAIR,L08 celda 1,7210309
JOINT REPAIR,L08 celda 1,72201882
JOINT REPAIR,L08 celda 1,72203854
JOINT REPAIR,L08 celda 1,72204689
JOINT REPAIR,L08 celda 1,72203841
JOINT REPAIR,L08 celda 1,72203842
JOINT REPAIR,L08 celda 1,72204687
JOINT REPAIR,L08 celda 1,72205060
JOINT REPAIR,L08 celda 1,72205061
JOINT REPAIR,L08 celda 1,72205137
